Individual,Species,dentary,dentary,dentary,dentary,dentary,dentary,scapula,scapula,scapula,scapula,scapula,scapula,scapula,humerus,humerus,humerus,humerus,humerus,femur,femur,femur,femur,Tibia,Calcaneus,Calcaneus,Calcaneus,Calcaneus,Calcaneus,
Dorcopsis_luctuosa_SAM-M15178,Dorcopsis_luctuosa,4.634450794,6.844131026,5.986012083,3.334369647,10.72034491,12.61673624,28.88581682,55.66438248,10.48407585,11.51439089,10.12962961,118.6175317,101.9424423,12.04355437,15.32959264,9.152894951,8.593026234,126.9668203,19.35223494,3.67101235,36.29948998,128.4109268,164.2276004,26.91407973,14.56027386,16.62415503,10.4608204,13.8984941,
Dorcopsis_muelleri_M28258,Dorcopsis_muelleri,4.90497464,5.958683374,4.71,3.670883224,11.84974063,11.91992296,,,,,,,,,,,,,,,,,,,,,,,
Dorcopsis_muelleri_M32339,Dorcopsis_muelleri,,,,,,,31.00656207,56.84001212,9.720696857,11.11441509,8.519417801,117.6188085,60.51396249,12.99643151,15.51471726,9.724187902,8.58207163,137.3880717,18.69552627,4.457171189,35.26595425,141.3981133,,,,,,,
Dorcopsis_muelleri_M32341,Dorcopsis_muelleri,5.296162701,8.298677443,,3.879362502,12.53132058,13.0849917,43.96761314,79.56431772,14.71864771,17.80867443,14.78366001,118.3190596,54.09013774,19.89652884,27.010576,17.40958985,15.4341762,136.3703676,21.92813016,5.633266125,45.6316197,175.0811303,227,,,,,,
Dorcopsis_muelleri_NHMUK-1933.11.4.4,Dorcopsis_muelleri,,,,,,,,,,,,,,,,,,,18.75553886,3.481474893,34.86289264,135.7301736,179.7381198,28.98331356,14.39706137,16.30466993,9.69330649,14.45264755,
Dorcopsis_muelleri_SAM-M12259,Dorcopsis_muelleri,,,,,,,,,,,,,,,,,,,,,,,,27.87399376,14.40605373,16.04498592,10.99397788,14.17904842,
Dorcopsulus_vanheurni_ANWCM15124,Dorcopsulus_vanheurni,,,,,,,,,,,,,,7.069400676,10.32013533,5.901076478,5.907902692,135.3888886,12.45517577,2.651683627,22.00727851,99.78635363,,,,,,,
Dorcopsulus_vanheurni_M30727,Dorcopsulus_vanheurni,3.292913339,4.620932291,24.04242585,2.530469181,7.534244769,7.663972754,21.51770285,33.79367073,6.518052523,7.302997672,5.865515938,125.9145292,76.03308897,6.856132412,10.74698363,6.443469184,5.95115976,142.9101958,12.98334664,3.211424438,21.49186938,97.57974597,119.39,,,,,,
Lagorchestes_conspicillatus_JM20119,Dorcopsulus_vanheurni,,,,,,,19.53962277,37.81849329,6.618403291,7.841574338,5.210850123,127.4565205,74.67337676,7.422731641,10.38541635,6.054158757,6.428224384,131.7348764,15.98434594,4.277128282,29.70580221,139.2909823,166.86,,,,,,
Lagorchestes_conspicillatus_UQ278,Dorcopsulus_vanheurni,5.122606756,7.517446479,4.63941501,5.999956382,13.88333379,11.00798494,,,,,,,,7.054770737,10.18585381,6.211576172,6.542683451,135.396149,16.68101644,2.442359208,28.35745255,118.8327405,,27.17335538,10.82775054,13.51084031,8.035110785,14.93377265,
Lagorchestes_hirsutus_M35069,Lagorchestes_hirsutus,3.778201145,5.410394801,,3.41463247,10.97998851,9.177575924,,,,,,,,,,,,,,,,,,,,,,,
Lagorchestes_hirsutus_M38909,Lagorchestes_hirsutus,3.510546716,5.849615503,,3.884382003,11.03415435,8.605591754,13.17188727,26.82656744,5.233316934,6.28323116,4.561367372,124.0036155,71.51339644,5.757751219,7.819534571,5.716615712,4.93989557,133.3036234,12.46770459,2.426980054,21.2968149,95.57497589,127.85,,,,,,
Lagorchestes_hirsutus_M45858,Lagorchestes_hirsutus,3.911704899,5.864368253,30.50513744,3.097811767,11.23799198,9.285735562,14.11739855,28.0075136,5.716726466,7.014712581,4.787306845,117.7009372,75.73665901,6.202480287,8.785902187,5.113636648,4.942225496,133.8808282,12.69778188,2.407771089,20.68340635,89.25140946,119.92,,,,,,
Lagorchestes_hirsutus_NTMU6066,Lagorchestes_hirsutus,,,,,,,,,,,,,,,,,,,12.28295795,2.61289843,22.36224616,89.55860566,,20.59615963,9.407382194,10.8634889,5.84353515,10.84131335,
Lagorchestes_hirsutus_SAMAM3587,Lagorchestes_hirsutus,4.056656647,4.651919722,7.42797108,4.356899388,10.50152058,8.465801203,,,,,,,,5.452851079,8.076135647,4.514611226,4.244037369,133.878334,,,,,,,,,,,
Lagostrophus_fasciatus_M40035,Lagostrophus_fasciatus,3.372412336,6.001228144,32.55773213,3.054021314,9.971973243,10.79540581,10.21794029,28.9934613,4.735511973,6.809678875,4.529069318,139.1555311,61.83179744,6.32301148,8.838036947,5.038605485,5.161200914,135.6645212,12.9954073,2.130212177,22.75753828,87.42830326,111.18,,,,,,
Lagostrophus_fasciatus_NTMU8082,Lagostrophus_fasciatus,,,,,,,,,,,,,,6.397700415,8.10485108,4.985525818,4.919294637,130.8081302,13.28459559,2.833819213,24.75628159,89.83359399,,,,,,,
Macropus_fuliginosus_M16578,Macropus_fuliginosus,,,,,,,46.38627381,78.66823356,18.73954195,21.35518244,12.76161534,122.1199848,116.9886961,23.00014999,25.45387428,15.88360664,17.09914431,135.6062168,,,,,,69.03697913,28.41961236,31.6779487,18.69149119,36.10979129,
Macropus_fuliginosus_MZRC6155,Macropus_fuliginosus,8.351288881,15.44205667,11.26077993,7.113752871,23.07354811,19.62783753,,,,,,,,,,,,,,,,,,,,,,,
Macropus_fuliginosus_NMVC6600,Macropus_fuliginosus,9.471653812,17.4331663,14.13078514,10.13793434,22.31087687,20.26055669,,,,,,,,,,,,,,,,,,,,,,,
Macropus_fuliginosus_NMVC9348,Macropus_fuliginosus,9.850713505,15.17670477,10.10716422,9.169183047,24.97517071,22.9854687,,,,,,,,,,,,,,,,,,,,,,,
Macropus_fuliginosus_SAMAM16578,Macropus_fuliginosus,,,,,,,,,,,,,,,,,,,38.29915258,6.553035767,69.22737838,235.9617648,418.3399165,,,,,,
Macropus_giganteus_J20891,Macropus_giganteus,9.06509726,12.90817731,14.40976404,6.670949496,23.0358029,18.40077712,,,,,,,,,,,,,,,,,,,,,,,
Macropus_giganteus_JM11525,Macropus_giganteus,,,,,,,,,,,,,,,,,,,,,,,,84.75476394,34.33083401,38.49658161,25.89553077,47.76871654,
Macropus_giganteus_JM19568,Macropus_giganteus,10.39339282,15.28259851,11.25387722,8.488189628,21.56540269,21.89252382,,,,,,,,,,,,,,,,,,,,,,,
Macropus_giganteus_JM20762,Macropus_giganteus,10.68962811,16.49214429,10.28946509,8.383165631,25.48044884,22.08755045,70.4600936,138.3961053,26.95302873,32.96904869,24.19813562,132.2132543,76.66217772,31.40579977,44.92488161,23.63579345,26.4660682,122.4449379,47.36878588,9.363598954,97.95283514,302.19191,,,,,,,
Macropus_giganteus_JM20891,Macropus_giganteus,,,,,,,30.43863969,66.74018212,13.8030839,17.95965198,11.6182407,128.0323559,70.08561586,,,,,,25.29317671,7.727151567,56.49992251,210.1512635,,61.31189245,24.33396013,26.66087802,17.76016558,35.02273849,
Macropus_giganteus_JM20893,Macropus_giganteus,,,,,,,,,,,,,,,,,,,,,,,,63.134448,25.66067338,28.91695487,16.95610184,33.19334035,
Macropus_giganteus_NHMUK-72.4498,Macropus_giganteus,,,,,,,,,,,,,,,,,,,41.39734148,10.15237804,84.77587865,281.1011742,520.4068969,,,,,,
Macropus_giganteus_NMVC24217,Macropus_giganteus,8.904481475,14.40912967,12.15029379,7.559242531,21.92535653,20.14454587,,,,,,,,,,,,,,,,,,,,,,,
Macropus_giganteus_NMVC26206,Macropus_giganteus,9.729372389,17.16350343,14.60326059,8.776610267,23.89853532,22.49354483,,,,,,,,,,,,,,,,,,,,,,,
