"Species","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Osphranter_antilopinus",10.5649590416,10.6589569468,28.543974258,10.577272237,11.0520554576,27.225829662,29.19361809,10.5241568494,10.4945993738,10.6521663266,28.868796174,28.045206118,10.8806355566,27.888957658,27.888957658,28.868796174,28.213779574,10.6528800808,10.6817238022,17.877483472,29.69238623,28.373082466,27.308957222,27.224670494,24.241068942
"Osphranter_robustus",10.3490251984,28.727340467,28.194118677,10.2990666267,10.4428410974,10.3197578442,28.027494119,10.3270449386,28.645950269,10.3473734383,10.3696929553,28.236841625,28.029021335,10.5334541771,28.357109219,28.314386271,28.234155241,27.250840611,10.3079282409,10.6241065973,28.357109219,18.171901671,19.5449951727,27.250261027,10.3094944286
"Osphranter_rufus",6.2976013935,6.457880536,28.24976044,6.2976013935,6.311971627,6.7362965585,28.24976044,6.347979237,6.260654549,6.457880536,28.24686252,6.6337797055,30.30873558,29.27253205,29.27253205,30.09512084,19.713464613,30.30873558,6.347979237,32.96904869,27.22698883,6.8074846495,28.24686252,6.28323116,27.22409091
"Petrogale_brachyotis",18.753182385,11.23890612,18.542465565,21.413495495,8.4363274405,18.753182385,8.5518288,8.0849569635,9.1262874615,8.0849569635,18.542465565,18.753182385,18.753182385,18.539567645,15.60656237,8.048010119,18.542465565,8.07058673,17.22331506,21.413495495,18.539567645,21.413495495,8.5518288,19.565237175,19.565237175
"Petrogale_penicillata",9.104883882,12.606466,9.104883882,16.0259880333333,13.24742233,9.104883882,16.02791998,9.056247579,9.04666742333333,9.03161634933333,16.70976772,9.056247579,9.36749547,9.056247579,13.24742233,16.0259880333333,9.056247579,16.02791998,16.70976772,9.36749547,16.70976772,16.02791998,16.02791998,16.02791998,9.29049456366667
"Petrogale_persephone",10.1254446693333,12.25270867,17.1217483,10.315978315,17.80359604,10.198712202,17.26222618,10.315978315,10.150075899,10.150075899,19.0357682533333,10.198712202,17.1217483,10.150075899,17.1217483,10.1404957433333,10.1404957433333,10.1254446693333,10.3843228836667,10.46132379,17.26222618,17.1217483,10.46132379,17.1217483,10.150075899
"Potorous_tridactylus",15.3816355216,7.8653709658,7.0682441106,12.341035938,11.1459735116,20.3816970822,19.6477665222,10.4670458022,7.202377375,20.4671429782,10.2954705598,7.1443518718,20.1423210622,15.7942298282,9.8633579738,7.1443518718,17.0797043284,7.0300316844,21.8603037382,7.2557182808,14.0677878162,6.9951018092,20.7107325982,7.2091564746,7.1504287378
"Pseudocheirus_peregrinus",6.651462853,11.9813617023333,22.3429251923333,14.564033309,13.0024532356667,23.0247729323333,6.845444631,21.1088210323333,13.7306843223333,13.7665487823333,10.1282108173333,13.623135254,16.128017589,6.47598028133333,12.2168824123333,20.5674511723333,6.52461658433333,9.58517129566667,7.41008547966667,21.251230859,6.64188269733333,10.1530707176667,6.78722817233333,15.8884037423333,6.64188269733333
"Setonix_brachyurus",7.07546195866667,22.774572507,14.5630796836667,7.13367841733333,23.4583521936667,21.5424002936667,6.869877239,7.07546195866667,20.858620607,21.6848101203333,20.819235657,7.01641230433333,6.96777600133333,6.95819584566667,11.5745048963333,6.899979387,6.94314477166667,21.0029623803333,9.507341987,20.8624845003333,7.06041088466667,7.14380652733333,22.774572507,20.8624845003333,21.5424002936667
"Spilocuscus_maculatus",17.6403922433333,17.78280207,10.719288092,10.836554205,10.719288092,10.670651789,10.6610716333333,14.5532119066667,13.56867061,10.670651789,12.0551982033333,10.670651789,10.719288092,10.719288092,13.0206556533333,10.670651789,10.719288092,10.6460205593333,15.91044745,11.0368115616667,17.78280207,10.670651789,18.32417193,11.9071667866667,17.64232419
"Thylacinus_cynocephalus",15.783008161,20.4854602925,23.504806850875,18.854181918125,22.27166914625,11.274166527875,24.2085752695,22.69102029625,23.20829608875,23.88633480975,19.72364324875,22.557686768875,27.70598905,27.48228431375,23.99315764375,23.146152933375,19.672580936625,20.179514045875,17.4494188685,24.3229281125,17.158018685,18.992675656,21.810587660375,28.4778746975,28.4764257375
"Thylogale_stigmatica",19.421631925,8.9670212435,19.635246665,19.424529845,8.95265101,19.421631925,8.9670212435,9.2158748675,19.424529845,22.295559775,9.039975698,9.3183917205,9.43389308,19.424529845,20.447301455,19.424529845,8.930074399,19.424529845,19.421631925,20.447301455,9.2158748675,9.039975698,19.421631925,19.424529845,19.424529845
"Thylogale_thetis",11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667,11.7287128506667
"Trichosurus_vulpecula",10.9981787348333,10.9281048435,18.8146927466667,18.7434878333333,15.5527726783333,18.1283677,19.0853776766667,13.9906056283333,17.347726995,17.7864778566667,17.20034783,18.19860664,18.7434878333333,14.88161189,13.9249624433333,19.0853776766667,18.8146927466667,19.0853776766667,16.4533703916667,11.0158461293333,10.8939325591667,17.85768277,10.8352995026667,18.46929157,10.98586312
"Wallabia_bicolor",10.0699629636667,17.8232762083333,21.23571202,21.7805932133333,10.011746505,10.1432402308333,21.7815591866667,10.0090110458333,20.8938221766667,22.1224830566667,20.5528983066667,21.5108742566667,10.361682781,10.1675583823333,20.8226172633333,21.5811131966667,10.0090110458333,10.0258036603333,21.4396693433333,21.7815591866667,10.0381192751667,10.0261167385,20.62410322,15.3211791233333,21.4406353166667
