"Individual","Species","dentary","dentary.1","dentary.2","dentary.3","dentary.4","dentary.5","scapula","scapula.1","scapula.2","scapula.3","scapula.4","scapula.5","scapula.6","humerus","humerus.1","humerus.2","humerus.3","humerus.4","femur","femur.1","femur.2","femur.3","Tibia","Calcaneus","Calcaneus.1","Calcaneus.2","Calcaneus.3","Calcaneus.4"
"Hypsiprymnodon_moschatus_M4154","Hypsiprymnodon_moschatus",5.508888609,5.181625849,48.4633599,2.249916432,9.902174134,9.833963501,14.11739855,32.909137,7.599168314,7.667970411,4.072079128,116.366996,109.9150135,6.29980514,7.774336531,4.90168826,4.796337005,145.9606016,8.063694062,1.362987257,14.59292393,60.04154957,98.78953762,11.16109471,5.257472891,5.245814495,3.506876373,5.777853212
"Hypsiprymnodon_moschatus_M42749","Hypsiprymnodon_moschatus",2.735581025,4.724183334,3.085700146,1.624847396,6.672155937,5.108917483,7.18931234,27.10691323,4.877178447,6.311971627,3.594378805,123.4631739,59.86977684,5.575315629,7.416505085,4.772677751,4.728139859,147.6467776,7.770504805,1.430349122,12.99957728,57.93386473,62.74,9.484753189,7.972295169,13.51084031,8.035110785,10.6257562
"Aepyprymnus_rufescens_FMNH124573","Aepyprymnus_rufescens",5.588781342,5.365107244,32.29508618,7.559242531,11.98339224,9.285735562,30.4251634,29.21095371,4.913100691,6.457880536,4.787306845,123.4631739,86.11420569,5.452851079,9.084837755,6.443469184,4.471247977,135.7275711,20.45686705,4.277128282,27.82987271,114.93,115.65,25.6381773,13.11055627,14.86281121,7.587187558,13.61294932
"Aepyprymnus_rufescens_JM15466","Aepyprymnus_rufescens",4.31890706,7.489514708,32.04365157,4.119454976,13.78459244,8.82503036,18.26848481,36.01444886,6.501255871,7.97950717,4.609470646,139.6657527,55.49315457,7.448367289,10.02424591,7.36665832,6.66992194,133.1522016,13.97435324,3.948556785,25.37771774,108.4064897,87.17,79.98825385,15.56049875,14.86281121,7.587187558,10.6257562
"Aepyprymnus_rufescens_JM20152","Aepyprymnus_rufescens",4.03282329,6.735129396,32.29508618,4.434269372,11.27149848,9.833963501,17.016052,38.99864518,6.965628431,8.174653219,5.474931257,136.0339899,66.94473281,8.113017584,10.90630298,6.630917804,6.115581777,126.8029073,17.39331126,3.065016992,28.31962061,111.6966881,103.2981182,79.98825385,28.22022026,31.68953178,19.01691245,8.286608745
"Aepyprymnus_rufescens_JM20274","Aepyprymnus_rufescens",3.542598475,5.150399437,29.31265771,3.981611577,9.109098906,8.043660361,16.50567583,34.65624031,6.352209601,7.667970411,4.857329249,139.5136394,47.18348991,8.671985223,11.94,6.097887624,6.254158219,135.6062168,13.16008604,4.150473885,23.02165848,100.8265443,90.61,30.91784562,16.88218101,16.83786842,12.53564919,13.61294932
"Aepyprymnus_rufescens_JM9339","Aepyprymnus_rufescens",4.51266897,6.557197207,8.314342064,4.870102337,10.59748678,9.691172418,15.74865525,32.909137,5.810538337,7.2457153,4.795541127,129.6037007,66.26749172,6.766592454,9.084837755,6.416555278,6.393284882,136.0399212,12.16416009,3.29098264,23.2018887,100.8265443,101.6829248,79.05240977,11.55452253,9.66630652,5.780029158,10.6257562
"Aepyprymnus_rufescens_M2939","Aepyprymnus_rufescens",5.199184178,7.517446479,32.55773213,5.045136488,14.01174395,12.63760323,10.38230791,26.82656744,6.518052523,11.4624411,4.529069318,131.656745,59.42707671,7.422731641,10.18585381,6.443469184,6.160848658,146.8315079,13.60688722,3.168783432,27.82987271,97.57974597,132.646961,79.98825385,25.66067338,24.61055181,16.95610184,8.286608745
"Aepyprymnus_rufescens_M32283","Aepyprymnus_rufescens",3.878163179,6.291354695,32.04365157,3.895816318,9.902174134,9.773551523,16.05030083,34.6172266,6.754707692,7.704542968,5.390018918,136.6580716,61.9141421,7.345252525,9.683276826,6.11842404,5.669828133,131.878567,12.80148742,2.925633089,25.34140101,102.5092061,119.39,79.98825385,21.6058338,19.8193301,14.33744521,8.286608745
"Aepyprymnus_rufescens_MSU-MR4680","Aepyprymnus_rufescens",6.09440871,6.830368756,29.31265771,3.071370749,13.55820012,13.22796653,17.016052,56.55091524,10.48768123,15.63954467,9.094568279,121.4865642,33.52720256,13.03892189,20.13472583,11.0470837,10.70751279,131.878567,15.19594107,3.168783432,28.6532939,103.053071,101.6829248,24.03038122,11.55452253,13.09128808,7.115127606,12.84718807
"Bettongia_penicillata_FMNH-129431","Bettongia_penicillata",3.116387491,5.118350005,2.402323025,2.822828884,9.289239718,7.413755631,9.422770698,27.53026646,5.758202051,7.184242392,4.233781628,131.5566314,102.3874976,6.708634292,8.496651286,6.420119506,5.374569303,141.1738003,11.5104436,3.032231305,21.19025699,83.20638226,103.2981182,34.61497248,30.1859681,28.91695487,18.69149119,8.286608745
"Bettongia_penicillata_M27628","Bettongia_penicillata",4.602281013,5.623444989,5.59,5.959077197,10.64240184,9.177575924,12.52149087,28.32710763,5.91046795,7.406415462,4.072079128,129.9788681,108.2628898,6.269822597,8.748903614,5.472284765,5.052616347,131.9055972,11.96138699,1.982907247,22.15948288,79.58308777,101.6829248,19.80585108,9.487531468,9.762271913,4.525278475,10.6257562
"Bettongia_penicillata_M27943","Bettongia_penicillata",2.869113259,5.009651174,2.782504214,2.034000772,8.470054614,7.392063472,20.32263371,50.79546662,9.549045444,11.62207086,8.565883305,122.383788,75.03386969,8.9,11.93938774,11.15922813,5.907902692,120.6087,16.6479138,3.461568492,25.37771774,108.4064897,160.26,79.98825385,13.11055627,14.86281121,5.780029158,9.399234002
